Gene,Weight
SOD2,-0.00023477080366584742
FAM153B,-0.00023508025133240108
ITGB8,-0.00023526505100557944
HLA-B,-0.0002359141684274867
SUB1,-0.0002362068718769994
TAGLN3,-0.00023935291666190038
CCDC84,-0.00023936622645702663
CFLAR,-0.00024549153888413184
TSC22D1,-0.0002456205401590072
B4GALNT4,-0.00024759180509615616
COX8A,-0.00024762238849857556
LRPAP1,-0.000251798685026774
AIFM3,-0.0002522050912440961
RAP1GAP,-0.00025276002386221026
USP22,-0.0002528102471152385
KCNT1,-0.00025333082227921755
CHL1,-0.00025386339240243336
NDRG1,-0.0002540883826110121
PAM,-0.00025481198290740393
R3HDM2,-0.0002568922865521476
TTLL7,-0.0002578695044656535
LOC613037,-0.00025848037616780465
C22orf9,-0.00025902832005591744
COL9A3,-0.00025922058209146536
SCN2A,-0.00025934560026063435
LY6E,-0.00025948995902586757
PDXDC2,-0.0002626574673408567
COX4I1,-0.00026373068995880715
PXK,-0.00026396894804389524
UGP2,-0.00026426951661951916
OLFM1,-0.0002692828379097536
TOMM7,-0.0002700438246747251
HINT1,-0.00027094368573135933
SRRM1,-0.0002713954140174342
NUMA1,-0.0002731456837613394
ARHGAP5,-0.0002740670962082838
GOLGA4,-0.0002743301717733529
PI4KA,-0.0002749520384015796
NDUFB1,-0.00027524846854579436
ARPP-19,-0.00027529812690907043
AES,-0.0002758554296987494
CERCAM,-0.00027740645803445076
FBXL16,-0.00027767589516617915
HLA-E,-0.00027809650979583155
RPH3A,-0.000279138981526925
KLHDC3,-0.00027927384919641395
PLCG1,-0.0002795179141162105
6-Mar,-0.00027952695564438144
AP1S1,-0.00028090383847722894
SLC17A7,-0.00028201523897974776
BPTF,-0.000282448784727581
PRPF19,-0.00028260675207695445
FAM162A,-0.00028391525069538213
SYT11,-0.000284948552873287
MYL6B,-0.0002856663093422814
SCD5,-0.0002857710286282361
FBXW7,-0.00028700494854061855
DLG4,-0.000288135561806349
RPL15,-0.00028858033425383287
MAN2A1,-0.00028966674255642873
ANKRD36,-0.0002907629583923608
MAP4K4,-0.00029148079091687984
BEX2,-0.00029327672265544685
IQGAP1,-0.00029339787027520974
SCRN1,-0.0002941250231036012
SNORD116-14,-0.0002957201983965103
LPAR1,-0.0002963583122347462
PLD3,-0.0002971376166305572
ARF5,-0.00029769327668103043
JOSD3,-0.0002986580715064515
FIS1,-0.0002992298768978955
LDHA,-0.00029941585332302756
PCNT,-0.00030047408264255226
SORBS1,-0.000300904177186157
SMARCC2,-0.0003012831236113708
SCARNA12,-0.0003019863633114922
APLP2,-0.0003031765293632462
TPI1,-0.0003038165128818999
ADD3,-0.0003043441740659692
NRN1,-0.00030546492646365495
CCAR1,-0.0003055508891089778
MAP4,-0.0003058303576155293
HNRPDL,-0.00030626758516977373
SNORD116-4,-0.00030628529557260133
ANKRD36B,-0.0003071928048093771
NDUFA1,-0.00031018718818349593
SLC39A10,-0.0003102277852918472
FAM153A,-0.0003111342736324312
RBM25,-0.0003115206610783452
PJA2,-0.00031213274929472085
RPL36AL,-0.00031383953116063723
PACSIN1,-0.0003145316716565606
COL6A1,-0.00031522294708691853
COL16A1,-0.0003164274669531835
